阅读词汇   1976-2003.01				
考频	考查的单词	正确的选项	词性	中文含义
	accumulate	collect	v.	积累；积聚
	accumulate	pile up	v.	堆积;积累
	accumulate	collect	v.	聚集
	accurate	exact	a.	精确的;准确的
	accustom to	used to 	v.	习惯于
	ache	hurt	v.	刺痛;损伤
	achievement	accomplishment	n.	成就;成绩
	acid	harsh	a.	尖刻的;刺耳的
	acquaint with	informed about	v.	了解;认识
	acquire	obtained	v.	获得;取得
	acrid	bitter	a.	辛辣的;苦涩的
	acrimonious	bitter	a.	刻毒的;厉害的
	actively	vigorously	ad.	积极地;主动地
3	actually	really	ad.	实际上;事实上
3	actually	in fact	ad.	实际上;事实上
3	actually	really	ad.	实际上;事实上
	actuate	set in motion	v.	v.启动;激励
	acute	critical 	a.	尖锐的;次要的
	acutely	keenly	ad.	敏锐地;强烈地
	adaptation	modification	n.	改变;变化
	addition	besides	n.	此外;并且
	address	speech	n.	演说;致辞
	adequate	sufficient	a.	充分的;足够的
	adhere	stick	v.	黏附；胶着
	adherent	follower	n.	信徒;追随者
2	adjacent	near；nearby	a.	邻近的;毗邻的
2	adjoining	neighboring	a.	毗邻的;邻近的
	adjunct	addition	n.	附加物
	adjunct to	addition to	n.	附属物;附加物
	administered	managed	v.	管理
	admire	esteem	v.	羡慕;钦佩
2	adopt	enact	v.	采用;正式通过
2	adopt	take on	v.	采用;正式通过
	adorn	decorate	v.	装饰
	adornment	embellishment	n.	装饰;装饰品
2	adult	mature	a.	成熟的;成年的
2	adult	mature	a.	成熟的;成年的
	advantage	make use of 	n.	利用
2	advent	coming	n.	出现;到来
2	advent	arrival	n.	出现;到来
2	adverse	negative	a.	相反的;不利的
2	adverse	negative	a.	相反的;不利的
	adversely	negatively	ad.	不利地；有害地
2	adversely	detrimentally	ad.	不利地;有害地
2	adversely	negatively	ad.	不利地;有害地
	advocate	proponent	n.	倡导者；辩护者
	aesthetically	artistically	ad.	审美地；美学地
	affection	fondness	n.	慈爱;钟爱
	affectionately	lovingly	ad.	充满深情地;亲切地
	affliction	problem	n.	折磨;苦恼
	affluence	wealth	n.	富裕;丰富
2	aggressive	combative	a.	寻衅的;好斗的
2	aggressive	combative	a.	寻衅的;好斗的
2	agrarian	farming	a.	农业的;耕地的
2	agrarian	agricultural	a.	农业的;耕地的
2	ahead of	preceding	prep.	在…之前;在…前面
2	ahead of	in front of 	prep.	在…之前;在…前面
	aid	help	v.	帮助;援助
	aided	helped	v.	帮助
	ailment	disease	n.	疾病;小病
2	aim	goal	n.	目标;目的
2	aim	objective	n.	目标;目的
	airborne	aloft	a.	空中的;飞行的
	alarm	frightened	v.	惊恐;警觉
	alert	wary	a.	机敏的
	all	everywhere	ad.	到处;遍及
	allegiance	loyalty	n.	忠诚;忠心
	alliance	association	n.	联盟;同盟
2	allocate	distributed	v.	分派;配给
2	allocate	awarded	v.	分派;配给
2	alloy	mixed	v./n.	v.熔合   n.合金
2	alloy	blend	v./n.	v.熔合   n.合金
4	almost	nearly	ad.	几乎;差不多
4	almost	practically	ad.	几乎;差不多
4	almost	nearly	ad.	几乎;差不多
4	almost	nearly	ad.	几乎;差不多
	aloft	in flight	ad.	在高处;飞行中
	alongside	next to	ad.	傍靠;紧靠
	aloof from 	separate from	a.	aloof from远离的;分隔的
	alter	change	v.	改变；调整
3	alter	change	v.	改变;变化;调整
3	alter	modify	v.	改变;变化;调整
3	alter	adjust	v.	改变;变化;调整
	alteration	renovation	n.	翻新;整修
	alternately	one after another	ad.	轮流地;交替地
	alternative	option	n.	替代；替代物
	alternative to	substitute for	n.	替代;替代物
	altitude	elevation	n.	海拔;高度
	altogether	completely	ad.	完全地
	amateur	nonprofessional	n.	业余爱好者;非专业人员
	ambition	goal	n.	野心;抱负;目标
	ambitious	enterprising	a.	有野心的;有抱负的
	ambivalence	conflicting feeling	n.	矛盾心理;犹豫不决
	amenity	comfort	n.	舒适;安逸
2	amount	quantity	n.	数量;数额
2	amount	quantity	n.	数量;数额
	an impetus to	an incentive to	n.	刺激；推动
	analogy	parallel	n.	类似;比拟
	ancestor	forefather	n.	祖先;祖宗
	anchor	secure	v.	弄牢;固定
2	ancient	old	a.	古老的;古代的
2	ancient	earliest	a.	古老的;古代的
	ancillary	secondary	a.	附属的；辅助的
	anguished	tormented	a.	痛苦的;苦恼的
	annals	chronicle	n.	编年史;纪年表
	annihilate	conquer	v.	消灭；征服
	annoying	irritating	a.	恼人的;讨厌的
	annual	yearly	a.	每年的;年度的
	annually	yearly	ad.	每年;年度
	anonymous	unknown 	a.	无名的;匿名的
	antagonist	enemy	n.	对手；敌人
	antagonistic	quarreling	a.	敌对的;对抗的
	antecedent	predecessor	n.	先辈
	anthem	song	n.	国歌;圣歌
	anticipate	look forward to 	v.	期待；盼望
2	anticipate	expect	v.	期待;预期
2	anticipate	expect	v.	期待;预期
	antique	old	a.	古式的;旧式的
	apace with	as fast as		快速的
	apathetic	uninvolved	a.	漠然的;冷淡的
	apparel	clothes	n.	衣服;服饰
2	apparently	seemingly	ad.	似乎;好像
2	apparently	seemingly	ad.	似乎;好像
	appeal	challenge	v.	上诉;挑战
	appealing	attractive	a.	有感染力的;吸引人的
	appealing	attractive	a.	吸引人的
	appear	seem 	v.	似乎;好像
	applaud	clap	v.	鼓掌;喝彩
	application	use	n.	应用;使用
	apply	used for	v.	应用；适用
	appoint	designate	v.	选派;任命
	appreciate	admire	v.	鉴赏;赏识
	appreciated	recognized	v.	赏识
	appreciation	recognition	n.	鉴赏；鉴别
	approach	near	v.	靠近;接近
	appropriate	suitable	a.	适当的;适宜的
	appropriation	founding	n.	拨款;专款
	approximately	about	ad.	近似;大约
	apt	appropriate	a.	贴切的;恰当的
	aptly	appropriately	ad.	适当地
	aptly	fittingly	ad.	恰当地;贴切地
	arbitrarily	randomly	ad.	任意地;专横地
	arboreal	tree-dwelling	a.	树木的;树栖的
	ardent	passionate	a.	热心的;热情的
	arduous	difficult	a.	艰巨的；艰苦的
3	arduous	laborious	a.	艰巨的;费力的
3	arduous	difficult	a.	艰巨的;费力的
3	arduous	difficult	a.	艰巨的;费力的
	arid	dry	a.	干旱的;干枯的
	aromatic	fragrant	a.	芳香的;芬芳的
4	arouse	provoke	v.	唤起;激发
4	arouse	excite	v.	唤起;激发
4	arouse	excite	v.	唤起;激发
4	arouse	stimulate	v.	唤起;激发
2	arrange	put together	v.	安排;整理
2	arrange	planned	v.	安排;整理
	array	collection	n.	批量;大量
	arrive	reach	v.	抵达;达到
	article	object	n.	物品，物体
	artificial	synthetic	a.	人工的;合成的
2	as a result of 	because of 		由于；因为
6	as a substitute for	in place of		v.代替；n.替代物
2	as well as	in addition of 	ad.	也；又
	ascend	climb	v.	攀升；升高
2	ascertain	determine	v.	查明;确定
2	ascertain	determine	v.	查明;确定
	ask	request	v.	询问；请求
	asphyxiation	suffocation	n.	窒息
	aspiration	ambition	n.	志气；抱负
2	assemble	gather	v.	装配；组合
2	assemble	bring together	v.	装配；组合
	assemble	put together	v.	装配；组合
	assembly	gathering	n.	集合；集会
	assert	emphatically state	v.	宣称；断言
	asset	advantage	n.	优点；长处
	assiduous	diligent	a.	勤勉的；不倦的
3	assist	help	v.	帮助；援助
3	assist	aid	v.	帮助；援助
3	assist	aid	v.	帮助；援助
	associate	connect	v.	联合；联系
	assortment	variety	n.	形形色色；各式各样
	assortment	variety	n.	形形色色；各式各样
2	assumption	belief	n.	设想；假定
2	assumption	supposition	n.	设想；假定
	assumption	belief	n.	确信的想法
2	assuredly	certainly	ad.	无疑地；确信地
2	assuredly	certainly	ad.	无疑地；确信地
2	astonishing	astounding	a.	惊人的；震惊的
2	astonishing	amazing	a.	惊人的；震惊的
	at home	comfortable	a.	舒适的；自在的
3	at once	immediately	ad.	立即；马上
	atmosphere	air	n.	大气；空气
	attach	fasten	v.	依附；粘结
	attachment	preference for	n.	依恋；偏好
	attained	achieved	v.	达到
	attained	reached	v.	达到
3	attempt	effort	v./n.	v.尝试　n.effort 努力
3	attempt	effort	v./n.	v.尝试　n.effort 努力
3	attempt	try	v./n.	v.尝试　n.effort 努力
	attend	present	v.	出席；参加
	attendant	accompanying	n.	服务员
	attire	clothing	n.	衣着；盛装
2	attire	dress	n.	衣着；盛装
2	attire	clothing	n.	衣着；盛装
2	attractive	pretty	a.	吸引人的；有感染力的
2	attractive	appealing	a.	吸引人的；有感染力的
	attribute	credit	v.	被认为；被鉴定
	attribute	characteristics	n.	特征
3	attribute	trait	n.	品质;属性
3	attribute	characteristic	n.	品质;属性
3	attribute to	testify as	v./n.	被认为；被鉴定为　
	auditory	hearing	a.	"耳的, 听觉的"
	authentically	genuinely	ad.	真正地；地道地
	authorize	empower	v.	授权；批准
	automatically	involuntarily	ad.	自动地；无意识地
	autonomous	independent	a.	独立的；自主的
2	autonomy	independence	n.	自治；自主
2	autonomy	independence	n.	自治；自主
	autumn	fall	n.	秋季；秋天
	avail	make use	v.	有用
	available	obtainable	a.	可得到的；可利用的
	avaricious	greedy	a.	贪心的；贪婪的
2	avert	avoid	v.	挡开；防止
2	avert	prevent	v.	挡开；防止
	aviator	pilot	n.	飞行员
	avid	eager	a.	渴望的；热心的
	avid	eager	a.	渴望的；热心的
	award	present with	v.	授予；给予
	awe	wonder	n.	敬畏；畏惧
	awesome	amazing	a.	令人敬畏的；令人惊奇的
	bachelor	unmarried man	n.	未婚男子
	backbone	spine	n.	脊骨；脊柱
	backlog	accumulation	n.	积压的工作
	baffle	perplex to	n.	迷惑；困惑
	balance	equilibrium	n.	平衡；均衡
	balmy	mild	a.	温和的；宜人的
4	ban 	prohibited	v.	禁止；阻止
4	ban 	forbid	v.	禁止；阻止
4	ban 	prohibited	v.	禁止；阻止
4	ban 	forbidden	v.	禁止；阻止
2	band	form groups	n./v.	n.条纹，带；v.联合；结合
2	band	stripe	n./v.	n.条纹，带；v.联合；结合
	banish	exile	v.	流放；放逐
	bark	outer covering	n.	树皮；茎皮
	barren	infertile	a.	贫瘠的；不毛的
	barren	infertile	a.	贫瘠的；不毛的
	barrier to	obstacle to 	n.	障碍；妨碍
	barter	trade	v.	易货贸易；物物交换
	base	center of operation	n.	基地
	basically	fundamentally	ad.	基本地；主要地
2	battle	struggle	v./n.	v./n.战斗；斗争
2	battle	fight(fought)	v./n.	v./n.战斗；斗争
	be committed to	be dedicated to	v.	交付；献身
	be fond of	like	a.	喜爱；爱好
2	be fraught with	charge with	a.	充满
2	be fraught with	full of 	a.	
	be penalized for	be punished for	v.	处罚
	be preoccupied with	engrossed in	a.	出神的；全神贯注的
	bead	drop	n.	水珠；水滴
2	beam	ray	n.	光束；光线
2	beam	ray	n.	光束；光线
5	bear	assume	v.	承担；支撑
5	bear	support	v.	承担；支撑
5	bear	yield	v.	承担；支撑
5	bear	carry	v.	承担；支撑
5	bear(bore)	carry	v.	承担；支撑
	beat(beaten)	whip	v.	搅打；搅拌
	become tarnished	lost its luster	v.	失去光泽；变暗淡
	bedridden	confined to bed	a.	卧床不起的
	bedrock	foundation	n.	基石；基础
	begin	commence	v.	开始；着手
	behavior	conduct	n.	行为；举止
	behind	to the rear of	prep.	在．．．后面
	behold	view	v.	观看；注视
2	belong　to	be members of	v.	属于；附属
2	belong　to	be owned by	v.	属于；附属
	beneath	below	prep.	在．．．下方；在．．．之下
2	beneficial	advantageous	a.	有利的；有益的
2	beneficial	advantageous	a.	有利的；有益的
	besides	in addition to	prep.	除此之外
	best	most highly	ad.	最佳地；最高地
	better	improve	v.	改善；促进
	beverage	drink	n.	饮料
	beyond	outside	prep.	在．．．之外
2	bias	prejudice	n.	偏见；嗜好
2	bias	prejudice	n.	偏见；嗜好
2	big	large	a.	大的；巨大
2	big	populous	a.	大的；巨大
	bind	tie	v.	捆；绑；使结合
	bind	join	v.	连接；凝聚
	biography	accounts of people's lives	n.	传记
	biological	living	a.	生物的；活的
	birth	beginning	n.	诞生；起源
	bit	somewhat	n.	一点；一些
	bizarrely	oddly	ad.	异乎寻常地；希奇古怪地
	blaze	burn brightly	v.	燃烧；闪耀
	bleach	whiten	v.	漂白；晒白
2	bleak	desolate	a.	凄凉的；惨淡的
2	bleak	desolate	a.	凄凉的；惨淡的
	blend	combine	v.	混合；融合
	blink	shut their eyes briefly	v.	眨眼；闪烁
	blunder	mistake	n.	错误；大错
	blunt	dull	a.	不锋利的；钝的
2	blurred	indistinct	a.	模糊的；(v.弄糊涂　blur ）
2	blurred	indistinct	a.	模糊的；弄糊涂
2	boast	brag	n./v.	夸口；自恃
2	boast	claim	n./v.	夸口；自恃
	boat	ship	n.	小船；小艇
	boldly	daringly	ad.	大胆地；勇敢地
	bond	link	n.	结合物；粘结剂
	boost	raise	v.	提升；提高
	boosted	raised	v.	提高，推进
	bore	drill	v.	钻孔；打眼
2	bothersome	irritating	a.	麻烦的；讨厌的
2	bothersome	annoying	a.	麻烦的；讨厌的
	bottom	floor	n.	底部；底
	bound	limit	n.	范围；界限
	bound	constraint	n.	范围；界限
	bound	held	v.	限制
	boundary	border	n.	边界；分界线
	boundless	infinite	a.	无边的；无限的
	brag	boast	n./v.	夸口；吹牛
	branch	division	n.	部门；分支
	brave	courageous	a.	勇敢的；英勇的
	brawl	fight 	n.	吵架；喧嚷
2	breach	rift	n.	破裂；决裂　
2	breach	violation	n.	违反；破坏
	break	departure from	n.	决裂；破裂
2	break apart	split	ad.	分裂;分离;
2	break out	begin 	v.	爆发；突然发生
2	break up	separate 	v.	分裂；破碎
	breakdown of	itemization of	n.	细目；分类帐
2	breathtaking	exciting	a.	动人的；惊险的
2	breathtaking	stunning	a.	动人的；惊险的
2	breed	raise	v.	饲养；繁殖
2	breed	hatch／mate  ?	v.	饲养；繁殖
	brevity	conciseness	n.	简洁；精练
	bricklayer	mason	n.	砌砖工；泥瓦工
	brief	short	a.	短暂的；短期的
	brief look	glance	n.	瞥视；浏览
	brightness	radiance	n.	光亮；明亮
	brilliantly	brightly	ad.	鲜明地；明亮地
	bring about	cause	v.	导致；引起
3	bring about 	cause	v.	造成；带来
3	bring about 	introduce	v.	造成；带来
3	bring about 	produce	v.	造成；带来
	briskly	energetically	ad.	轻快地
	brittle	breakable	a.	易碎的；脆弱的
	brittle	easily broken	a.	易碎的
	broach	bring up	v.	首次宣布；提出讨论
3	broad	wide	a.	宽的；阔的；广泛的；概括的
3	broad	general	a.	宽的；阔的；广泛的；概括的
3	broad	wide	a.	宽的；阔的；广泛的；概括的
	broaden	widened	v.	加宽；拓宽
	broadly	liberally	ad.	广义地；概括地
2	brochure	pamphlet	n.	小册子；手册
2	brochure	short pamphlet	n.	小册子；手册
	bruise	damage	v.	碰伤；擦伤
2	bulk	most	n.	大部分；大多数
2	bulk	majority	n.	大部分；大多数
	burglary	theft	n.	夜盗；盗贼
	bury	embed	v.	埋葬；埋藏
	busy	in use	a.	忙碌的；占用的
	by and large	on the whole	ad.	整体来看；一般说来
	by chance	accidentally	ad.	意外地；突然地
2	by-product	derivative	n.	副产品；派生物
2	by-product from	derivative of	n.	副产品；派生物
	byword	epithet	n.	绰号；浑名
	calculate	determine	v.	计算；确定
2	caliber	quality	n.	才能；品质
2	caliber	quality	n.	才能；品质
3	call for	require	v.	要求；需要
3	call for	require	v.	要求；需要
3	call off 	cancel	v.	取消；放弃
	calmly	quietly	ad.	平静地；沉着地
	came to the forefront	became impotant		
	camouflage	conceal 	v.	掩饰；隐瞒
	capacity	ability	n.	能力；接受力
	capital	money	n.	资本；资金
	caption	title	n.	标题；解说词
	capture	caught	v.	捕捉；捕获
	care	attention	n.	照管；管理
2	career	profession	n.	职业；生涯
2	career	vocation	n.	职业；生涯
	carried on	continued	v.	继续
	carry	support	v.	支撑；支持
	cast	project	v.	投射；投影
	catastrophe	disaster	n.	大灾难；大变动
	categorize	classify	v.	归类；分类
	category	group	n.	类别；范畴
	caution	warn	v.	警告；告戒
	cave	cavern	n.	山洞；洞穴
	cease	stop	v.	停止；结束
	celebrate	praise	v.	赞美；歌颂
2	celebrated	distinguish	a.	著名的；驰名的
2	celebrated	famous	a.	著名的；驰名的
	celebratory	full of praise	n.	颂扬
	celestial	astronomical	a.	天空的；天上的
2	cement	bond	v.	黏结；胶合
2	cement	stick	v.	黏结；胶合
	census	population count	n.	人口普查
	centennial	hundredth anniversary	n.	１００周年纪念
	champion	advocate	n.	提倡者；拥护者
	chance	unplanned	a.	偶然的；碰巧的
	changeover from	conversion from	n.	改变；交换
	character	nature	n.	品质；性格
2	characteristic	distinguishing feature	n.	特征；特色
2	characteristic	distinctive	a.	特有的；独特的
	characteristically	typically	ad.	独有地；独特地
	characteristics	qualities	n.	性质，特性
	charge	attack	v.	袭击；攻击
	chatterbox	incessant talker	n.	话匣子；饶舌者
	cheap	inexpensive	a.	便宜的；廉价的
	check	control	v.	抑制；制止
3	chiefly	mainly	ad.	主要地；尤其
3	chiefly	mainly	ad.	主要地；尤其
3	chiefly	principally	ad.	主要地；尤其
	chill	cool	v.	冷冻；冷却
	choice	selection	n.	挑选；选择
	chronically	persistently	ad.	长期地；经常地
	chronicle	describe	v.	记述
	chronologically	according to a time sequence	ad.	按时间顺序
	chubby	plump	a.	肥胖的；丰满的
2	cite	refer to 	v.	引证；引用
2	cite	mention	v.	引证；引用
	clamor for	loudly demand	v.	喧闹；叫嚷
	clasp	hold	v.	紧握；抓住
	classify	categorize	v.	分类
	classify	categorize	v.	分类；划等
	clean	empty	v.	清扫；打扫
	clear	unobstructed	a.	畅通的；无阻的
	clear away	move	v.	清楚；搬走
	climate	weather condition	n.	气候
	climax of	high point in	n.	高峰；顶峰
2	cling to	hold fast to 	v.	粘着；缠住
2	cling to	stick to	v.	粘着；缠住
	clinging	close-fitting	a.	紧身的；贴紧的
	clip	trim	v.	修剪；剪去
	clog	congest	v.	阻塞；填塞
	cloth	fabric	n.	织物；衣料
	club	association	n.	俱乐部；社团
2	clue	information	n.	线索；信息
2	clue	information	n.	线索；信息
	clump	bunch	n.	树丛；树簇
	cluster	group	v.	成群
	coagulate	clot	v.	凝结；混凝
	coalition	alliance	n.	联盟；联合
	coarse	rough	a.	粗糙的
	coarse	crude	a.	粗糙的
2	coat	fur	n.	皮毛
2	coat	cover	v./n.	涂盖
	coherent	logical	a.	有逻辑的；一致的
	coin	create	v.	创造；杜撰
	coin	invent	v.	创造；杜撰
	coincide with　	collide with	v.	巧合；一致
	coincide with happen 	at the same time	ad.	同时
3	collaborate	work together on	v.	协作；合作
3	collaborate	work jointly	v.	协作；合作
3	collaborate	work together 	v.	协作；合作
	colleague	fellow worker	n.	同事；同僚
	collective	group	n.	集体
	collectively	together	ad.	共同地
	collide with	bump into	v.	冲撞；撞击
	collision	crash	n.	碰撞；撞击
	colloquial	conversational	a.	会话的；口语的
	colonize	settle	v.	殖民；定居
	colony	group	n.	集群；群体
	combat	fight 	v.	战斗；斗争
	combine	blend	v.	结合；兼有
4	come down with	contract	v.	得病
	come of age	establish itself	v.	达到法定年龄；确立自身地位
4	come through	be written 	v.	完成；成功
4	come to 	regain consciousness	v.	苏醒；恢复
4	come up with	propose	v.	提出；产生
	comic	funny	a.	滑稽的；好笑的
	command 	mastery	n.	掌握；控制
	commanding	forceful 	a.	 威严的；坚强的
	commensurate with	proportionate to	a.	相当的；相称的
	comment	remark	n.	评论；评注
	commercial	business	a.	商业的；商务的
	commodity	article of trade	n.	商品；日用品
	commonly	frequently	ad.	通常地；经常地
2	commonplace	ordinary	a.	平凡的；普通的
2	commonplace	average	a.	平凡的；普通的
	communal	cooperative	a.	合作的；社区的
	compact	compress	v.	压缩；压实
	comparable	equivalent	a.	可比的；相当的
	comparably	similarly	ad.	可比地；相当地
	compel	force 	v.	强制；强迫
	compensate	reimburse	v.	赔偿；补偿
	competent	capable	a.	有能力的；能胜任的
	competently	adeptly	ad.	熟练地；内行地
	competition	rivalry	n.	竞争；比赛
	compile	gather	v.	搜集；汇编
2	completely	immediately	ad.	完全地；十足地
2	completely	entirely	ad.	完全地；十足地
	complex	involved	a.	复杂的；综合的
2	comply with	conform to	v.	遵守；服从
2	comply with	obey	v.	遵守；服从
3	component	part	n.	成分；部分
3	component	element	n.	成分；部分
3	component	part	n.	成分；部分
	component	parts	n.	部分
	compose	focus on 	v.	创作；创造
	compose	write	v.	创作；作曲
	composition	makeup	n.	构成；组成
	comprehensible	understandable	a.	能理解的
	comprise	consist of 	v.	包含；包括
3	comprise	constitute	v.	包含；包括
3	comprise	consist of	v.	包含；包括
3	comprise	make up	v.	包含；包括
2	compulsory	mandatory	a.	强制的；义务的
2	compulsory	mandatory	a.	强制的；义务的
	computation	calculation	n.	计算；估计
	compute	calculate 	v.	计算；估计
	concealed	covered	a.	隐藏着的
	conceive	design	v.	设想；构想
	concentrate	cluster	v.	集中；积聚
	concentrate	focus on	v.	集中；贯注
	concentration	accumulation	n.	集中；聚集
	concise	brief	a.	简明的；扼要的
	concisely	succinctly	ad.	简明地；简洁地
	conclusion	end	n.	结束；结尾
	conclusive	definitive	a.	最后的
	concoct	devise	v.	制造；策划
	concomitant with 	in conjunction with	ad.	协同
	concrete	specific	a.	具体的；特定的
2	concur	agree	v.	赞成；一致
2	concur in 	unite in 	v.	赞成；一致
	condemnation	blame	n.	谴责
	conduct	behavior	n.	行为；品行
	confederate	ally	n.	同盟者；同伙
2	confer	consult	v.	协商
	confer on	award to	v.	授予
	configuration	arrangement	n.	结构；形状
	confine	limit	v.	限制；局限
	confine	limit	v.	限制；局限
	confine	restrict	v.	限制
	confirm	uphold	v.	证实；确认
	confirm	verify	v.	证实
	conflicting	opposing	a.	冲突的；抵触的
	conflicting	incompatible	a.	冲突的；抵触的
	conform	meet	v.	一致；符合
	confound	bewilder	v.	混淆；混乱
	congenital	present at birth	a.	先天的；天生的
2	congest	crowd	v.	拥挤；积聚
2	congest	overcrowd	v.	拥挤；积聚
	conglomerate	assortment	n.	密集体；集成物
2	congregate	assemble	v.	聚集；集合
2	congregate	gather	v.	聚集；集合
	conjectural	based on guessing	a.	猜测的；推测的
	conscientiously	diligently	ad.	谨慎地；精心地
	consciously	intentionally	ad.	自觉地；有意识地
	consecutive	successive	a.	连贯的；连续地
	consequence	result	n.	结果；后果
	consequence	result	n.	结果
2	conserve	store	v.	保存；保护
2	conserve	retain	v.	保存；保护
	consider	regard as	v.	认为；看作
3	considerable	large	a.	很重要的；很大的
3	considerable	substantial 	a.	很重要的；很大的
3	considerable	much	a.	很重要的；很大的
	considerable	great	a.	相当大的
	considerable	great	a.	重要的；相当的
2	considerably	a great deal	ad.	相当大地；很大地
2	considerably	very much	ad.	
	considerate	thoughtful	a.	体谅的；关心的
	consist of 	be made up	v.	由．．．组成
	consistent	constant	a.	持续的
	consistently	regularly	ad.	一致地；始终地
	consorted	associated	v.	结交
	conspicuous	noticeable	a.	显著的
2	conspicuous	obvious	a.	明显的；显著的
2	conspicuous	noticeable	a.	
2	constantly	constantly	ad.	不断地；经常地
2	constantly	continuously	ad.	
	constituent	component	n.	成分；要素
2	constituent	districts' voter	n.	选民；委托人；成分；要素
2	constituent	component	n.	
	constitute	make up	v.	构成；组成
2	constitute	make up	v.	构成；组成
2	constitute	make up	v.	
	constrain	inhibit	v.	强制；抑制
	constraint	limitation	n.	约束；限制
	constrict	contract	v.	收缩；阻塞
	consume	eat	v.	消费；吃
	consumed	eaten	v.	吃掉
	consumption	eat	n.	消费；消耗
	contaminate	infect	v.	污染；感染
	contamination	pollution	n.	污染；沾染
	contemporary	existing	a.	当代的；现有的
	contemporary	modern	a.	当代的；现代的
	contemporary	written at that time	n.	同时代
	contention	controversy	n.	争论；论战
	contest	competition	n.	比赛；竞赛
	continuously	without interruption	ad.	连续地；不断地
	contradictory	opposing	a.	矛盾的；对立的
	contrariwise	opposite	ad.	相反地；对立地
	contrary to	in conflict with	a.	相反的；对立的
	contrive	devise	v.	设计；造出
	convene	meet	v.	集合；集会
2	conventional	traditional	a.	常规的；传统的
2	conventional	traditional	a.	
	convergence	gathering	n.	聚集
	convert	change	v.	转变；变换
	convert	change	v.	转换
	converted	changed	v.	转变
2	convey	transport	v.	传送；传播
2	convey	communicate	v.	
	coordinate	integrate	v.	协调；配合
	copious	plentiful	a.	丰富的；大量的
	cordial	pleasant	a.	亲切的；愉快的
	core	center	n.	核心；中心
	correct	accurate	a.	正确的；准确的
	correctly	properly	ad.	正确地；恰当地
	correspondingly	similarly	ad.	相应地；对应地
	corroborate	confirm	v.	确证；证实
	corrode	wear(worn)  away	v.	锈蚀；磨损
	costly	expensive	a.	昂贵的；豪华的
	couch	express	v.	表达；表述
	count	weigh	v.	有价值；有分量
2	count on	trust	v.	依靠
2	count on	rely	v.	
	counteract	negate	v.	抵消；反作用
	counterpart	version	n.	复本；对应物
2	countless	innumerable	a.	无数的；许多的
2	countless	many	a.	
2	country	nation	n.	国家；国土
2	country	nation		
2	couple  	pair	n.	对；双
2	couple with	in addition to 	v.	加上
	courteous	polite	a.	有礼貌的；谦恭的
	coverage	reportage	n.	新闻报道
	cozy	comfortable	a.	舒服的；舒适的
	cramped	confining	a.	狭窄的
	create	bring about	v.	引起；产生
	creek	stream	n.	小河；小川
2	creep	move slowly	v.	蠕动；爬行
2	creep	crawl	v.	
	criminal	gangster	n.	罪犯；歹徒
	crisscross	move back and forth	v.	穿梭；交错往来
	critical	crucial for	a.	关键性的；决定性的
	critical judge of fine arts	connoisseur	n.	鉴赏家；评论家
	cross one's mind	occur to sb.	v.	想到；脑中闪现
	crossroad	central meeting place	n.	聚会中心地点
	crucial	important	a.	重要的
2	crude	roughly made	a.	粗制的；天然的；未加工的
2	crude	unprocessed	a.	
2	cultivate	grow	v.	栽培；耕作
2	cultivate	farm	v.	
	culture	civilization	n.	文化；文明
