阅 读 词 汇新 题             1995.8-2003.01				
考频	考查的单词	正确的选项	词性	中文含义
	disseminate	spread/impart	v.	散布；传播
2	distinct	separate	a.	清晰的；不同的
2	distinct	separate	a.	清晰的；不同的
	distinct	different	a.	独特的；不同的
	distinct	separate	a.	独特的
	distinguish	differentiate	v.	区分；辨别
	divergence	difference	n.	差异；变化
	diverse	dissimilar	a.	多种多样的；不一样的
	diverse	varied	a.	不同的
	diverse	different	a.	不同的
	dividing line	boundary	n.	边界；分界线
	do sth. Repeatedly	iterate	v.	重复；反复
2	domain	field	n.	领域；范围
2	domain	region	n.	领域；范围
	dominate	be prevalent in	v.	支配；控制
	dramatic	striking	a.	戏剧性的；显著的
	drastic	radical	a.	激烈的；猛烈的
	drastically	severely	ad.	激烈的
2	draw	attract	v.	吸引
2	draw	attract	v.	吸引
	draw	instruct	v.	引导
	durability	endurance	n.	经久，耐久
	durable	long-lasting	a.	持久的；耐用的
	dwelling	house	n.	住处；寓所
	eager	enthusiastic	a.	热心的
2	easily moved	portable	a.	轻便的；可携带的
2	easily moved	portable	a.	轻便的；可携带的
	effect	influence	v.	影响；效果
	efficiency	effectiveness	n.	效力
	elaborately	done in great detail	ad.	详尽地；精心地
	elevate	promote	v.	提高；提升
	elicit	bring out	v.	引出
	embraced	welcomed	v.	欢迎
	emerge	appear	v.	浮现；出现
	emit	give off	v.	发出
	emitting	producing	v.	生产，发行
	emphasize	stress	v.	强调
	employ	use 	v.	雇佣；应用
2	enable	allow	v.	使能够；使可能
2	enable	help	v.	使能够；使可能
	enactment	performance	n.	演出；表演
	encompass	include	v.	包含
	end	goal	n.	末端；目的
	engaged	hired	v.	雇佣
	ensures	guarantees	v.	保证
	entire	whole	a.	全部的
	entity	object	n.	实体；存在
	entomb	trap	v.	埋葬；设陷阱
	era	period of time	n.	时期
	eradicate	eliminate	v.	除去；消除
	erroneous ideas	misconception	n.	误解；错误观念
	erroneously identified as	mistake	v.	误以为；误认为
	essence	basic nature	n.	基本
	essential	fundamental	a.	基本的
	establish	create	v.	设立；创作
	estimated	judged	v.	鉴定
	evidence	indicate	n.	迹象；预示
	exalted	superior	a.	高贵的；崇高的
	excavate	dig	v.	挖掘；开凿
	excavating	digging	v.	挖掘
	execute	create	v.	造成；制成；履行；执行
	exercise	utilize	v.	行使，利用
	exert	cause	v.	引起；产生
	exorbitant	expensive	a.	昂贵的
	expendable	unprofitable	a.	没有用的
2	expose	subject to 	v.	使暴露；暴露于
2	expose	uncover	v.	使暴露；暴露于
2	extend	stretch	v.	延长；扩展
2	extend	increase	v.	延长；扩展
	extol	praise	v.	赞美
	extolled	praised	v.	赞美
2	extract	remove	v.	提取；取得
2	extract	remove	v.	提取；取得
	extract	remove	v.	根除，移除
	extraordinary	supreme	a.	非凡的；极度的
	fabricate	make  	v.	制作；装配
	fabricating	constructing	v.	制作，构建
	faction	side	n.	小派系
	fashion	create	v.	造成，引起
	fatal	deadly	a.	致命的
	favor	prefer	v.	喜爱
	favored	perferred	n.	喜爱
	feed	put	v.	供给；供应
	feel	detect	v.	察觉；感觉
	finding	scientific discovery		
	fine	tiny	a.	细小的
	finely	minutely	ad.	精细的　
	fixture	commonplace object	n.	固定设备；附属装置
	flamed	burned	a.	燃烧的
	flattering	complimentary	a.	称赞的；奉承的
	flourished	thrived	n.	茂盛
	forage	feed	v.	搜索；寻找食物
	formidable	difficult	a.	艰难的
	forward-looking	progressive	a.	向前看的；有远见的
	frame	pose	v.	构造；提出
	freeing	releasing	n.	解除，释放
	functional	usable	a.	合用的
	fundamental	basic	a.	基础的；基本的
	gambit	calculated risk	n.	策略；谋略
	gap	open	n.	缺口；缝隙
	give way to 	turn into	v.	让位；变成
	glowing	shining	a.	光亮的
	good name	reputation	n.	名声；名誉
	graphic	vivid	a.	生动的
	grumbled	complained	v.	抱怨
	hard	firm	a.	坚硬的；牢固的
	hard to deal with	stubborn	a.	执拗的；固执的
	heart	center	n.	中心
	hemisphere	side	n.	半球；半边
	henceforth	from that time on	ad.	自此以后
	herald	announce	v.	预示；预报
	hinged on	depended on	v.	依靠
	hinterland	region	n.	地方；区域
	ideal	perfect	a.	完美的
	identical	exactly alike	a.	同样的
	imitate	copy	v.	模仿；伪造
	immunity	protection	n.	保护
	immutable	unchangeable	a.	不变的
	impediment	obstacle	n.	妨碍；阻碍
	imperceptibly	subtly	ad.	不可觉察地；极缓慢地
	implement	tool	n.	工具；器械
	implication	significance	n.	含义；意义
	imposing	demanding	a.	紧迫的；紧急的
	in place of	instead of	ad.	代替　
	in reality	actually	n.	实际上；事实上
	inaccessible	unreachable	a.	难接近的；难达到的
	inception	beginning	n.	起初
	incinerate	burn up	v.	烧毁
	incised	carved	a.	雕刻的
	inclination	preference 	n.	倾向；偏好
	incorporate	combine	v.	结合；合并
	influx	arrival	n.	流入；到达
	ingenuity	resourcefulness	n.	机灵
	inhibit	hinder	v.	阻止；阻碍
2	initiate	start	v.	开始；引发
2	initiate	cause	v.	开始；引发
	innovation	new idea	n.	创新；革新
	innovative	new	a.	创新的
	insignificant	unimportant	a.	不重要的
	instance	case	n.	实例；例证
	integral	essential	a.	整体的；不可缺少的
	integral	fundamental	a.	基本的
	intense	extreme	a.	强烈的；剧烈的
	intensive	concentrated	a.	加强的，集中的
	intent	goal	n.	目的
	intent	purpose	n.	目的
	interchangeable	equivalent	a.	相等的；可互换的
	intervals	periods	n.	周期 
	intervention	influence	n.	干涉；影响
	intricate	complex	a.	复杂的
	intriguing	attractive	a.	迷人的　
	invade	move into	v.	侵入
	inviting	attractive	a.	吸引人的；诱人的
	justify	prove	v.	辩护；证实
	key	important		
	laborious	difficult	a.	费力的
	lie	be located	v.	位于
	load	weight	n.	重担
	locale	place	n.	场所
	lured	attracted	v.	吸引，引诱
	magnify	intensify	v.	放大；强化
3	maintain	preserve	v.	维持；坚持
3	maintain	preserve	v.	维持；坚持
3	maintain	keep	v.	维持；坚持
	major	principal	a.	主要的；大型的
	make possible	allow	v.	允许；使可能
	mandated	required	v.	要求
	margin	edge	n.	边；边缘
	marked	pronounce	a.	明显的；显著的
	marked	noticeable	a.	显著的
	means	method	n.	方法　
	merely	only	ad.	仅仅地，只不过
	meteoric	rapid	a.	迅速的
	meticulously	careflly	ad.	小心地
	minuscule	tiny	a.	很小的；微小的
	minute	tiny	a.	微小的；细微的
	modifying	changing	v.	修改；变化
	monopolize	dominate	v.	独占；占优势
	moreover	furthermore	ad.	此外
	moreover	in addition	ad.	另外
	motif	design	n.	图案；花纹
	mundane	ordinary	a.	世俗的；普通的
	myriad	many	a.	许多的；无数的
	nascent	immature	a.	新生的；初生的
	nevertheless	however	ad.	然而；仍然
	norm	standard	n.	标准
	noted	observed	v.	注意到
	noticed	announced	v.	宣告，通告
	notwithstanding	despite	prep.	尽管
	noxious	harmful	a.	有害的；有毒的
	obtain	get  	v.	获得；取得
	obtain	acquire	v.	获得；取得
	obtain	acquire	v.	获得
	obvious	apparent	a.	明显的；显而易见的
	optimal	best	a.	最佳的
	ornate	elaborate	a.	华丽的
	outbreak	beginning	n.	爆发；开始
	outline	summarizing	v.	总结；概括
	outstanding	excellent	a.	杰出的；显著的
	over great distances	faraway	a.	遥远之处
	overtaken	surpassed	v.	赶上，超越
	peak	maximum	a.	最高的；高峰的
	peculiar	strange	a.	奇特的
	penetrate	go through	v.	穿透；透过
	people in the play	actor	n.	演员；剧中人物
	periphery	outer edge	n.	外围
	persist	continue	v.	持续
	personal magnetism	charisma	n.	个人魅力
	pertinent	relevant	a.	有关的
	phenomena	event	n.	现象；事件
	pick up	follow	v.	寻找；寻路
	picture	imagine	n.	图片
	pit	hole	n.	坑；洼地
	plunge	drop	n./v.	投入，陷入
	ponderous	heavy	a.	笨重的
	pore	hole	n.	毛孔；细孔
	position	job	n.	职位；职务
	potential	possible	a.	潜在的；可能的
	precarious	uncertain	a.	不稳定的
	precise	accurate	a.	精确的
	prefer	favor	v.	偏好；喜欢
	preside	manage	v.	负责；统辖
	presumably	probably	ad.	大概
	prevailed	dominated	v.	成功，统治
	prevailing	most frequent	a.	盛行的；流行的
	prevailing	dominant	a.	主要的，占优势的
	prevent	avoid	v.	制止；阻止
	primarily	chiefly	ad.	主要地
	primary	fundamental	a.	基本的；初步的
	prior to	preceding	a.	在先；居前
	prized	valued	a.	贵重的
	probe	explore	v.	探察
	produce	butter	n.	产物；产品
	prolific	productive	a.	多产的
	prolific	fruitful	a.	多产的
	prominent	distinguished	a.	显著的；卓越的
	prominent	famous	a.	著名的
	proponent	supporter	n.	支持者
	prototype	model	n.	原型；范例
	protrude	project	v.	突出；伸出
	pry off	locate	v.	查找
	puncture	pierce	v.	刺穿；刺破
	pursue	chase	v.	追赶
	raise	rear	v.	饲养；养育
	random	unpredictable	a.	不可知的
	rapidity	swiftness	n.	迅速
	rare	infrequent	a.	稀有的；罕见的
	rather	instead	ad.	相反；相反地
	readily	easily	ad.	容易地
	realization	awareness	n.	认识；意识
	reap	accept	v.	收获；接受
	rear	raise	v.	培养；饲养
	reckless	irresponsible	a.	不负责任的
	recorded	documented	a.	已纪录的
	recruit	enlist	v.	征募；补充
	refreshing	unusual	a.	清新的；清爽的
	regardless of	no matter what	a.	不管
	relate	connect	v.	相关；关联
	reliance	dependence	n.	依靠
	remarkable	significant	a.	异常的；非凡的
	representative	typical	a.	典型的
	resemble	be similar to 	v.	相似；类似
	resolve	find a solution for	v.	解决
	resort to	using	v.	采用
	revered	respected	v.	尊敬
	revise	change	v.	修正；改造
	robust	strong	a.	强健的；坚强的
	roll back	reduce	v.	压低；减少
2	rotate	alternate	v.	轮流；更迭
2	rotate	turn  	v.	轮流；更迭
	rotting	decaying	v.	腐烂
	roughly	approximately	ad.	概略地；大约
	rudimentary	undeveloped	a.	原始的；简单的
	rupture	burst	v.	破裂；裂开
	rushing	rapid	a.	急流的
	sanitation	health	n.	卫生；健康状态
	saturate	soak	v.	浸透；饱和
	saying two opposite things	paradox	n.	悖论；隽语
	scale	measure	n./v.	刻度/测量
	scarce	rare	a.	稀有的
	scarcely	barely	ad.	稀缺；珍贵
	scope	extent	n.	范围
	scorched	burned	v.	烧焦
	score	musical compositions	n.	乐谱
	scurrying	rushing	v.	急赶
	secure	acquire	v.	获得；取得
	secure	safe	ad.	安全的
	sedentary	inactive	a.	不移栖的
	sentiment	opinion	n.	意见；观点
	serve as	function as	v.	充当；担任
	set	establish  	v.	确定；安置
	settle	decide	v.	决定；解决
	settled	stabled	a.	固定的
	severe poverty	indigence	n.	贫困；赤贫
	shield	protect	v.	保护；避开
	significant	meaningful	a.	有重要意义的
	site	location	n.	地点；场所
	skepticism	doubt	n.	怀疑主义；怀疑态度
	sketch	draw	v.	速写；素描
	skilled	expert	a.	熟练的；擅长的
	skyrocket	increase rapidly	v.	猛涨，突增
	sleep briefly	nap	n.	小睡；打盹
	smooth operation	effective functioning		
	snap	break	v.	折断；拉断
	sole	only	a.	唯一的；独一的
	sole	only	a.	单独的
	solemn	serious	a.	严肃的；庄重的
	sort out	separate	v.	挑选出
	source of energy	fuel	n.	能源；燃料
	spanning	covering	v.	包含
	spark	bring about	v.	激发；发动
	speculate	hypothesize	v.	推测；假设
	staggering	overwhelming	a.	压倒的；压倒之势的
	standard	customary	a.	标准的
	standing	not flowing	a.	停滞的；不流动的
	staple	popular edition?	n.	大宗物品；流行的东西
	staple	basic element	n.	主要成分
	stimulate	encourage	v.	激发；促进
	story	level	n.	楼层；层
	strain	stress	v.	拉紧，重压
	strength	basis	n.	实力；基础
	stress	emphasize	v.	强调
	striking	noticeable	a.	显著的
	stringent	strict	a.	严格的；严厉的
	struggle	competition	n.	竞争
	subject	susceptible	a.	易受影响的；遭受影响的
	subjugated	conquered	v.	征服
	subsequent	later	a.	后来的
	subsidize	finance	v.	资助；赞助
	subsidy	finance	n.	补助金；补贴
	succinct	concise	a.	简洁的；简练的　
	sufficient	adequate	a.	足够的；充足的
	suitably	appropriately	ad.	适宜地
	sumptuous	luxurious	a.	豪华的；奢侈的
	sums	amounts	n.	和
	supplant	replace	v.	取代；替代
	supplement	extension	n.	补充；补遗
	supplement	add to	v.	补充，增加
	support	hold	v.	支持；支撑
	supposedly	seemingly	ad.	想象地；表面上
	supremacy	dominance	n.	至高无上；支配地位
	supreme	most outstanding	a.	最大的；极度的
	surge	increase sharply	v.	急剧增加
	surging	accelerating	a.	高涨的；跃进的
	suspend	hang	v.	挂；悬挂
	sustain	support	v.	支撑
	symmetrical	proportionally balanced	a.	对称的；匀称的
	tangled	twisted together	a.	混乱的
	telling	challenging	a.	有效的；有力的
	tempting	attractive	a.	诱人的
	thanks to	because of	n.	由于；多亏
	thereby	by that means		
	think highly	admire	v.	钦佩；羡慕
	tolerate	endure	v.	忍受；忍耐
	trace	imprint	n.	痕迹；遗迹
	trend	tendency	n.	趋势；趋向
	typify	characterize	v.	代表，表现
	ultimately	eventually	ad.	最后
2	undergoing	experiencing	v.	经历　
2	undergone	experienced	v.	经历　
	undergone	experienced	v.	经历
	underscore	emphasize	v.	强调
	underwater craft	submarine	n.	潜水艇
	undoubtedly	certainly	ad.	的确地
	unique	particular	a.	独特的
	unique	singular	a.	非凡的
	unprecedented	never seen before	a.	空前的
	unravel	discover	v.	解开；阐明
	unrestricted	unlimited	a.	无限制的；自由的
	unsubstantiated	unverified	a.	未证实的；未核实的
	urged	encouraged	v.	催促，鼓励
	usher	beginning	v.	引导；开始
	various	different	a.	不同的
	vary	differ	v.	变化；改变
	vast	large	a.	巨大的；广阔的
	vast	great	a.	大量的
	venture	endeavor	n.	冒险；冒险行动
	very closely	intimately	ad.	亲密；密切
	vestige	evidence	n.	遗迹；残余
	virtually	completely	n.	实质地
	want to much	greedy	a.	贪婪的；贪心的
	whether	if	conj.	是否
	wider	more extensive	a.	宽广的
	witness	observe	v.	目睹；目击
	yield	provide	v.	产生；产生效果
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
